location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,lat,long,location-contact-phone-main,location-contact-url-main
Alton Memorial Hospital,6 Memorial Drive,Alton,IL,62002,,,636-561-5100,
Bonne Terre - Parkland Health Center,7245 Raider Road,Bonne Terre,MO,63628,,,636-561-5100,
Columbia - Boone Hospital,1600 East Broadway,Columbia,MO,65201,,,636-561-5100,
Barnes-Jewish West County Hospital,12634 Olive Blvd.,Creve Coeur,MO,63141,,,1-844-542-9378,
Farmington - Parkland Health Center,1101 West Liberty,Farmington,MO,63640,,,636-561-5100,
Missouri Baptist Medical Center,3015 N. Ballas Road,St. Louis,MO,63131,,,,
Hannibal Clinic,100 Medical Drive,Hannibal,MO,63401,,,636-561-5100,
Progress West Healthcare Center,2 Progress Point Parkway,O'Fallon,MO,63368,,,,
Poplar Bluff - Kneibert Clinic,686 Lester Street,Poplar Bluff,MO,63901,,,636-561-5100,
Rolla - Phelps County Regional Medical Center,1000 West Tenth Street,Rolla,MO,65401,,,636-561-5100,
Memorial Hospital East Medical Building,1414 Cross St.,Shiloh,IL,62269,,,636-561-5100,
Springfield - Cox Medical Center,3443 S National Ave,Springfield,MO,65807,,,636-561-5100,
St. Louis Children's Specialty Care Center,13001 North Outer Forty,St. Louis,MO,63017,,,314-454-KIDS (5437),
VA Medical Center: John Cochran Division,915 North Grand Boulevard,St. Louis,MO,63106,,,,
Grant Medical Clinic (WUCA),114 North Taylor,St. Louis,MO,63108,,,314-652-8138,
Barnes-Jewish Hospital,1 Barnes-Jewish Hospital Plaza,St. Louis,MO,63110,,,866-867-3627,
Shriners Hospitals for Children,4400 Clayton Road,St. Louis,MO,63110,,,,
St. Louis Children's Hospital,1 Children's Place,St. Louis,MO,63110,,,314-454-KIDS (5437),
Christian Hospital,1133 Dunn Road,St. Louis,MO,63136,,,,
Mercy Hospital,615 S. New Ballas Road,St. Louis,MO,63141,,,,
Barnes-Jewish St. Peters Hospital,10 Hospital Drive,St. Peters,MO,63376,,,,
